delivery_key,delivery_id,order_key,order_id,promised_delivery_date,actual_delivery_date,transport_cost,delivery_status,order_date,quantity,order_value,order_status,warehouse_key,warehouse_id,warehouse_name,warehouse_country,warehouse_capacity,carrier_key,carrier_id,carrier_name,carrier_service_level,dq_flag_missing_transport_cost,dq_flag_invalid_delivery_date,delivery_variance_days
1,D0000001,1,O0000001,2025-02-20,2025-02-19,69.04,Delivered,2025-02-16,26,332.54,Delivered,2,W02,Warehouse 02,Spain,27715,3,T03,Carrier 03,Standard,false,false,-1
2,D0000002,2,O0000002,2025-05-17,2025-05-22,57.32,Delivered,2025-05-08,32,238.4,Delivered,10,W10,Warehouse 10,Germany,24023,7,T07,Carrier 07,Standard,false,false,5
3,D0000003,3,O0000003,2025-11-01,2025-11-06,38.23,Delivered,2025-10-26,16,194.24,Delivered,10,W10,Warehouse 10,Germany,24023,1,T01,Carrier 01,Premium,false,false,5
4,D0000004,4,O0000004,2025-06-10,2025-06-21,37.38,Delivered,2025-06-07,20,213.8,Delivered,9,W09,Warehouse 09,Spain,10336,6,T06,Carrier 06,Standard,false,false,11
5,D0000005,5,O0000005,2025-09-12,2025-09-13,524.04,In Transit,2025-09-09,48,4808.16,In Transit,10,W10,Warehouse 10,Germany,24023,7,T07,Carrier 07,Standard,false,false,1
6,D0000006,6,O0000006,2025-10-04,2025-10-05,73.47,Delivered,2025-10-01,48,557.28,Delivered,3,W03,Warehouse 03,Brazil,15843,1,T01,Carrier 01,Premium,false,false,1
7,D0000007,7,O0000007,2025-01-19,2025-01-16,44.4,In Transit,2025-01-12,19,239.59,In Transit,12,W12,Warehouse 12,Netherlands,25674,1,T01,Carrier 01,Premium,false,false,-3
8,D0000008,8,O0000008,2025-12-11,2025-12-16,74.64,Delivered,2025-12-06,19,1133.16,Delivered,11,W11,Warehouse 11,Germany,5748,4,T04,Carrier 04,Express,false,false,5
9,D0000009,9,O0000009,2025-05-07,2025-05-11,143.53,Delivered,2025-05-03,33,2454.54,Delivered,5,W05,Warehouse 05,Spain,25643,13,T13,Carrier 13,Standard,false,false,4
10,D0000010,10,O0000010,2025-10-22,2025-10-29,54.21,In Transit,2025-10-17,20,474.0,In Transit,1,W01,Warehouse 01,Germany,20207,4,T04,Carrier 04,Express,false,false,7
11,D0000011,11,O0000011,2025-06-27,2025-07-04,160.43,Delivered,2025-06-20,29,1517.57,Delivered,11,W11,Warehouse 11,Germany,5748,6,T06,Carrier 06,Standard,false,false,7
12,D0000012,12,O0000012,2025-08-02,2025-08-02,108.9,Delivered,2025-07-30,33,898.26,Delivered,8,W08,Warehouse 08,Italy,18100,2,T02,Carrier 02,Premium,false,false,0
13,D0000013,13,O0000013,2025-05-17,2025-05-19,123.15,Delivered,2025-05-12,49,953.54,Delivered,12,W12,Warehouse 12,Netherlands,25674,8,T08,Carrier 08,Standard,false,false,2
14,D0000014,14,O0000014,2025-11-14,2025-11-17,40.91,Delivered,2025-11-08,4,281.04,Delivered,9,W09,Warehouse 09,Spain,10336,5,T05,Carrier 05,Express,false,false,3
15,D0000015,15,O0000015,2025-02-20,2025-02-17,60.93,In Transit,2025-02-12,16,527.84,In Transit,11,W11,Warehouse 11,Germany,5748,6,T06,Carrier 06,Standard,false,false,-3
16,D0000016,16,O0000016,2025-12-02,2025-12-04,35.05,Delivered,2025-11-24,18,329.58,Delivered,9,W09,Warehouse 09,Spain,10336,3,T03,Carrier 03,Standard,false,false,2
17,D0000017,17,O0000017,2025-03-20,2025-04-01,60.51,In Transit,2025-03-17,7,491.54,In Transit,12,W12,Warehouse 12,Netherlands,25674,7,T07,Carrier 07,Standard,false,false,12
18,D0000018,18,O0000018,2025-11-28,2025-11-24,56.75,Delivered,2025-11-19,33,649.11,Delivered,4,W04,Warehouse 04,France,17137,14,T14,Carrier 14,Premium,false,false,-4
19,D0000019,19,O0000019,2025-01-18,2025-01-15,73.08,In Transit,2025-01-09,29,496.48,In Transit,1,W01,Warehouse 01,Germany,20207,6,T06,Carrier 06,Standard,false,false,-3
20,D0000020,20,O0000020,2025-01-15,2025-01-11,92.93,Delivered,2025-01-06,22,776.16,Delivered,1,W01,Warehouse 01,Germany,20207,8,T08,Carrier 08,Standard,false,false,-4
21,D0000021,21,O0000021,2025-02-10,2025-02-11,67.41,Delivered,2025-02-03,24,688.8,Delivered,7,W07,Warehouse 07,Netherlands,10019,9,T09,Carrier 09,Premium,false,false,1
22,D0000022,22,O0000022,2025-07-22,2025-07-23,82.88,In Transit,2025-07-19,45,919.8,In Transit,4,W04,Warehouse 04,France,17137,2,T02,Carrier 02,Premium,false,false,1
23,D0000023,23,O0000023,2025-04-12,2025-04-14,128.61,Delivered,2025-04-08,33,2318.58,Delivered,2,W02,Warehouse 02,Spain,27715,2,T02,Carrier 02,Premium,false,false,2
24,D0000024,24,O0000024,2025-08-15,2025-08-13,62.12,Delivered,2025-08-07,43,459.67,Delivered,11,W11,Warehouse 11,Germany,5748,10,T10,Carrier 10,Express,false,false,-2
25,D0000025,25,O0000025,2025-11-02,2025-11-11,56.29,Delivered,2025-10-27,13,440.31,Delivered,10,W10,Warehouse 10,Germany,24023,2,T02,Carrier 02,Premium,false,false,9
26,D0000026,26,O0000026,2025-01-19,2025-01-21,65.7,In Transit,2025-01-10,48,564.96,In Transit,2,W02,Warehouse 02,Spain,27715,6,T06,Carrier 06,Standard,false,false,2
