customer_id,customer_name,country,segment
C00001,Customer 00001,Brazil,Retail
C00002,Customer 00002,Italy,Wholesale
C00003,Customer 00003,Spain,Industrial
C00004,Customer 00004,France,Wholesale
C00005,Customer 00005,France,Retail
C00006,Customer 00006,Netherlands,Retail
C00007,Customer 00007,Brazil,Industrial
C00008,Customer 00008,Italy,Industrial
C00009,Customer 00009,Germany,Retail
C00010,Customer 00010,Brazil,Wholesale
C00011,Customer 00011,Spain,Retail
C00012,Customer 00012,Netherlands,Retail
C00013,Customer 00013,Italy,Retail
C00014,Customer 00014,Italy,Retail
C00015,Customer 00015,Italy,Retail
C00016,Customer 00016,Italy,Wholesale
C00017,Customer 00017,Spain,Retail
C00018,Customer 00018,Brazil,Retail
C00019,Customer 00019,Netherlands,Retail
C00020,Customer 00020,France,Retail
C00021,Customer 00021,Spain,Retail
C00022,Customer 00022,France,Wholesale
C00023,Customer 00023,Germany,Retail
C00024,Customer 00024,Netherlands,Wholesale
C00025,Customer 00025,Italy,Industrial
C00026,Customer 00026,Spain,Retail
C00027,Customer 00027,France,Industrial
C00028,Customer 00028,Italy,Industrial
C00029,Customer 00029,Spain,Wholesale
C00030,Customer 00030,France,Wholesale
C00031,Customer 00031,France,Wholesale
C00032,Customer 00032,Germany,Wholesale
C00033,Customer 00033,Brazil,Wholesale
C00034,Customer 00034,Spain,Retail
C00035,Customer 00035,Netherlands,Industrial
C00036,Customer 00036,Brazil,Wholesale
C00037,Customer 00037,Netherlands,Wholesale
C00038,Customer 00038,Italy,Retail
C00039,Customer 00039,Germany,Retail
C00040,Customer 00040,Spain,Retail
C00041,Customer 00041,Brazil,Retail
C00042,Customer 00042,Italy,Retail
C00043,Customer 00043,Italy,Retail
C00044,Customer 00044,France,Retail
C00045,Customer 00045,Brazil,Retail
C00046,Customer 00046,Netherlands,Retail
C00047,Customer 00047,France,Industrial
C00048,Customer 00048,Netherlands,Retail
C00049,Customer 00049,Italy,Retail
C00050,Customer 00050,Italy,Retail
C00051,Customer 00051,Italy,Retail
C00052,Customer 00052,Germany,Retail
C00053,Customer 00053,France,Wholesale
C00054,Customer 00054,France,Industrial
C00055,Customer 00055,France,Retail
C00056,Customer 00056,Brazil,Wholesale
C00057,Customer 00057,Spain,Retail
C00058,Customer 00058,Brazil,Retail
C00059,Customer 00059,Italy,Retail
C00060,Customer 00060,Italy,Retail
C00061,Customer 00061,Netherlands,Wholesale
C00062,Customer 00062,Italy,Wholesale
C00063,Customer 00063,France,Wholesale
C00064,Customer 00064,Netherlands,Retail
C00065,Customer 00065,France,Wholesale
C00066,Customer 00066,Germany,Retail
C00067,Customer 00067,Netherlands,Retail
C00068,Customer 00068,France,Retail
C00069,Customer 00069,Brazil,Wholesale
C00070,Customer 00070,France,Industrial
C00071,Customer 00071,Italy,Retail
C00072,Customer 00072,Germany,Wholesale
C00073,Customer 00073,France,Wholesale
C00074,Customer 00074,Brazil,Wholesale
C00075,Customer 00075,Italy,Retail
C00076,Customer 00076,France,Wholesale
C00077,Customer 00077,Germany,Wholesale
C00078,Customer 00078,Germany,Industrial
C00079,Customer 00079,Spain,Retail
C00080,Customer 00080,Italy,Industrial
C00081,Customer 00081,Netherlands,Retail
C00082,Customer 00082,France,Wholesale
C00083,Customer 00083,Brazil,Retail
C00084,Customer 00084,Italy,Retail
C00085,Customer 00085,Spain,Retail
C00086,Customer 00086,Italy,Retail
C00087,Customer 00087,Brazil,Retail
C00088,Customer 00088,Germany,Retail
C00089,Customer 00089,Italy,Retail
C00090,Customer 00090,Italy,Retail
C00091,Customer 00091,France,Wholesale
C00092,Customer 00092,Italy,Industrial
C00093,Customer 00093,Netherlands,Wholesale
C00094,Customer 00094,France,Retail
C00095,Customer 00095,Netherlands,Retail
C00096,Customer 00096,Germany,Industrial
C00097,Customer 00097,Germany,Retail
C00098,Customer 00098,Italy,Retail
C00099,Customer 00099,Spain,Industrial
C00100,Customer 00100,Brazil,Industrial
C00101,Customer 00101,Italy,Retail
C00102,Customer 00102,Germany,Wholesale
C00103,Customer 00103,Italy,Retail
C00104,Customer 00104,Brazil,Wholesale
C00105,Customer 00105,Italy,Retail
C00106,Customer 00106,Italy,Retail
