delivery_id,order_id,promised_delivery_date,actual_delivery_date,transport_cost,delivery_status
D0000001,O0000001,2025-02-20,2025-02-19,69.04,Delivered
D0000002,O0000002,2025-05-17,2025-05-22,57.32,Delivered
D0000003,O0000003,2025-11-01,2025-11-06,38.23,Delivered
D0000004,O0000004,2025-06-10,2025-06-21,37.38,Delivered
D0000005,O0000005,2025-09-12,2025-09-13,524.04,In Transit
D0000006,O0000006,2025-10-04,2025-10-05,73.47,Delivered
D0000007,O0000007,2025-01-19,2025-01-16,44.4,In Transit
D0000008,O0000008,2025-12-11,2025-12-16,74.64,Delivered
D0000009,O0000009,2025-05-07,2025-05-11,143.53,Delivered
D0000010,O0000010,2025-10-22,2025-10-29,54.21,In Transit
D0000011,O0000011,2025-06-27,2025-07-04,160.43,Delivered
D0000012,O0000012,2025-08-02,2025-08-02,108.9,Delivered
D0000013,O0000013,2025-05-17,2025-05-19,123.15,Delivered
D0000014,O0000014,2025-11-14,2025-11-17,40.91,Delivered
D0000015,O0000015,2025-02-20,2025-02-17,60.93,In Transit
D0000016,O0000016,2025-12-02,2025-12-04,35.05,Delivered
D0000017,O0000017,2025-03-20,2025-04-01,60.51,In Transit
D0000018,O0000018,2025-11-28,2025-11-24,56.75,Delivered
D0000019,O0000019,2025-01-18,2025-01-15,73.08,In Transit
D0000020,O0000020,2025-01-15,2025-01-11,92.93,Delivered
D0000021,O0000021,2025-02-10,2025-02-11,67.41,Delivered
D0000022,O0000022,2025-07-22,2025-07-23,82.88,In Transit
D0000023,O0000023,2025-04-12,2025-04-14,128.61,Delivered
D0000024,O0000024,2025-08-15,2025-08-13,62.12,Delivered
D0000025,O0000025,2025-11-02,2025-11-11,56.29,Delivered
D0000026,O0000026,2025-01-19,2025-01-21,65.7,In Transit
D0000027,O0000027,2025-07-20,2025-07-18,71.89,Delivered
D0000028,O0000028,2025-10-06,2025-10-03,55.69,Delivered
D0000029,O0000029,2025-06-11,2025-06-09,56.98,Delivered
D0000030,O0000030,2025-12-11,2025-12-09,55.29,Delivered
D0000031,O0000031,2025-09-06,2025-09-03,258.0,Delivered
D0000032,O0000032,2025-01-21,2025-01-18,67.49,Delivered
D0000033,O0000033,2025-07-23,2025-07-20,29.49,In Transit
D0000034,O0000034,2025-05-26,2025-05-26,64.47,Delivered
D0000035,O0000035,2025-02-21,2025-02-23,294.43,Delivered
D0000036,O0000036,2025-12-18,2025-12-28,63.37,Delivered
D0000037,O0000037,2025-03-28,2025-03-29,36.9,Delivered
D0000038,O0000038,2025-02-08,2025-02-14,118.08,Delivered
D0000039,O0000039,2025-04-01,2025-04-05,36.31,Delivered
D0000040,O0000040,2025-11-07,2025-11-02,27.77,Delivered
D0000041,O0000041,2025-08-15,2025-08-17,98.91,Delivered
D0000042,O0000042,2025-10-30,2025-10-28,77.66,Delivered
D0000043,O0000043,2025-06-21,2025-06-20,80.94,Delivered
D0000044,O0000044,2025-02-16,2025-02-16,175.15,Delivered
D0000045,O0000045,2025-05-31,2025-06-01,84.98,Delivered
D0000046,O0000046,2025-03-22,2025-03-24,34.71,In Transit
D0000047,O0000047,2025-07-28,2025-07-24,30.9,Delivered
D0000048,O0000048,2025-04-17,2025-04-18,415.03,Delivered
D0000049,O0000049,2025-12-27,2026-01-01,62.37,In Transit
D0000050,O0000050,2025-05-25,2025-05-24,58.11,Delivered
D0000051,O0000051,2025-04-29,2025-04-28,76.73,Delivered
D0000052,O0000052,2026-01-05,2026-01-07,26.22,Delivered
D0000053,O0000053,2025-07-12,2025-07-15,218.71,Delivered
D0000054,O0000054,2025-03-08,2025-03-09,132.69,In Transit
D0000055,O0000055,2025-07-03,2025-06-28,148.95,Cancelled
D0000056,O0000056,2025-04-06,2025-04-05,32.0,Cancelled
D0000057,O0000057,2025-09-23,2025-09-20,59.72,In Transit
D0000058,O0000058,2025-08-05,2025-08-11,197.23,Cancelled
D0000059,O0000059,2025-10-01,2025-10-05,101.56,Cancelled
D0000060,O0000060,2025-12-14,2025-12-21,26.4,Delivered
D0000061,O0000061,2025-09-30,2025-10-08,110.28,Delivered
D0000062,O0000062,2025-05-14,2025-05-14,176.11,Delivered
D0000063,O0000063,2025-03-23,2025-03-22,41.89,Cancelled
D0000064,O0000064,2025-07-19,2025-07-21,117.77,Cancelled
D0000065,O0000065,2025-06-20,2025-06-22,77.61,Delivered
D0000066,O0000066,2025-04-30,2025-05-09,31.74,Delivered
D0000067,O0000067,2025-11-01,2025-10-31,81.22,Delivered
D0000068,O0000068,2025-12-08,2025-11-29,28.17,Delivered
D0000069,O0000069,2025-05-23,2025-05-25,35.79,Delivered
D0000070,O0000070,2025-09-15,2025-09-14,56.22,In Transit
D0000071,O0000071,2026-01-05,2025-12-28,147.57,Delivered
D0000072,O0000072,2025-01-13,2025-01-07,81.91,Delivered
D0000073,O0000073,2025-05-22,2025-05-26,104.52,Delivered
D0000074,O0000074,2025-10-01,2025-10-04,42.3,Delivered
D0000075,O0000075,2025-07-11,2025-07-14,142.5,Delivered
D0000076,O0000076,2025-10-25,2025-10-28,108.92,Delivered
D0000077,O0000077,2025-07-02,2025-07-07,51.24,Delivered
D0000078,O0000078,2025-01-29,2025-01-26,91.57,In Transit
D0000079,O0000079,2025-06-11,2025-06-23,67.24,Delivered
D0000080,O0000080,2025-06-02,2025-06-01,256.47,Cancelled
D0000081,O0000081,2025-11-09,2025-11-10,70.42,Delivered
D0000082,O0000082,2025-03-01,2025-03-01,49.23,Delivered
D0000083,O0000083,2025-03-05,2025-03-01,245.68,Delivered
D0000084,O0000084,2025-03-02,2025-02-23,185.24,Delivered
D0000085,O0000085,2025-08-02,2025-08-08,59.45,Delivered
D0000086,O0000086,2026-01-09,2026-01-04,39.47,Delivered
D0000087,O0000087,2025-08-17,2025-08-16,40.14,Delivered
D0000088,O0000088,2025-10-31,2025-11-09,49.33,Delivered
D0000089,O0000089,2025-11-13,2025-11-17,28.76,Delivered
D0000090,O0000090,2025-08-15,2025-08-21,96.36,Delivered
D0000091,O0000091,2025-08-17,2025-08-24,220.43,Delivered
D0000092,O0000092,2025-04-09,2025-04-02,599.46,Delivered
D0000093,O0000093,2025-12-23,2025-12-19,31.11,Delivered
D0000094,O0000094,2025-10-21,2025-10-25,103.77,Delivered
D0000095,O0000095,2025-11-21,2025-11-20,61.64,Delivered
D0000096,O0000096,2026-01-04,2026-01-08,213.27,Delivered
D0000097,O0000097,2025-05-14,2025-05-11,156.97,Delivered
D0000098,O0000098,2025-02-26,2025-03-02,124.8,Delivered
D0000099,O0000099,2025-11-19,2025-11-20,82.39,In Transit
D0000100,O0000100,2025-06-29,2025-06-27,233.92,In Transit
D0000101,O0000101,2025-12-24,2025-12-26,49.67,Delivered
D0000102,O0000102,2025-09-19,2025-09-18,80.56,Delivered
D0000103,O0000103,2025-04-10,2025-04-18,107.08,In Transit
D0000104,O0000104,2025-05-17,2025-05-20,158.38,Delivered
D0000105,O0000105,2025-08-15,2025-08-13,51.27,Delivered
D0000106,O0000106,2025-05-30,2025-05-29,56.15,Delivered
D0000107,O0000107,2025-04-21,2025-04-25,41.95,Delivered
D0000108,O0000108,2025-03-24,2025-03-29,39.85,Delivered
D0000109,O0000109,2025-08-29,2025-09-02,65.11,Delivered
D0000110,O0000110,2025-01-23,2025-01-21,67.99,Delivered
D0000111,O0000111,2025-02-10,2025-02-11,85.7,Delivered
D0000112,O0000112,2025-01-25,2025-01-28,124.18,Delivered
D0000113,O0000113,2025-09-30,2025-09-30,202.45,Delivered
D0000114,O0000114,2025-01-18,2025-01-14,42.96,In Transit
D0000115,O0000115,2025-06-11,2025-06-11,32.33,Delivered
D0000116,O0000116,2025-02-24,2025-02-15,76.48,Delivered
D0000117,O0000117,2025-08-09,2025-08-11,79.52,Cancelled
D0000118,O0000118,2025-01-20,2025-01-26,105.14,Cancelled
D0000119,O0000119,2025-01-14,2025-01-20,32.68,Delivered
D0000120,O0000120,2025-06-04,2025-06-09,44.03,Cancelled
D0000121,O0000121,2025-09-20,2025-09-26,36.04,Delivered
D0000122,O0000122,2025-02-18,2025-02-16,120.82,Cancelled
D0000123,O0000123,2025-07-09,2025-07-10,70.65,Delivered
D0000124,O0000124,2025-11-02,2025-10-26,229.96,Delivered
D0000125,O0000125,2025-08-22,2025-08-22,58.45,Delivered
D0000126,O0000126,2025-10-08,2025-10-12,49.73,In Transit
D0000127,O0000127,2025-05-06,2025-04-28,187.52,Delivered
D0000128,O0000128,2025-12-16,2025-12-13,62.51,In Transit
D0000129,O0000129,2025-03-01,2025-03-04,93.34,Delivered
D0000130,O0000130,2025-08-15,2025-08-19,66.31,Delivered
D0000131,O0000131,2025-06-12,2025-06-09,36.3,Delivered
D0000132,O0000132,2025-01-22,2025-01-21,18.14,Delivered
D0000133,O0000133,2025-12-18,2025-12-24,125.47,Delivered
D0000134,O0000134,2025-09-24,2025-09-26,22.5,In Transit
D0000135,O0000135,2025-04-03,2025-03-27,52.55,Delivered
D0000136,O0000136,2025-01-23,2025-02-01,49.96,Delivered
D0000137,O0000137,2025-09-13,2025-09-15,19.05,Delivered
D0000138,O0000138,2025-07-28,2025-07-24,63.34,Delivered
D0000139,O0000139,2025-01-27,2025-01-26,245.81,Delivered
D0000140,O0000140,2026-01-01,2025-12-28,156.39,Delivered
D0000141,O0000141,2025-09-23,2025-10-03,132.35,Delivered
D0000142,O0000142,2025-06-24,2025-06-30,109.2,Delivered
D0000143,O0000143,2025-04-08,2025-04-09,102.2,Delivered
D0000144,O0000144,2025-04-15,2025-04-18,34.92,Delivered
D0000145,O0000145,2025-06-22,2025-06-21,105.99,Delivered
D0000146,O0000146,2025-01-28,2025-02-02,73.81,In Transit
D0000147,O0000147,2025-05-19,2025-05-17,86.74,Delivered
D0000148,O0000148,2025-03-26,2025-03-27,29.65,Delivered
D0000149,O0000149,2025-02-16,2025-02-13,45.64,Delivered
D0000150,O0000150,2025-02-24,2025-02-24,120.0,In Transit
D0000151,O0000151,2025-05-13,2025-05-16,21.53,Delivered
D0000152,O0000152,2025-05-27,2025-05-22,55.61,Delivered
D0000153,O0000153,2025-05-17,2025-05-11,59.22,Delivered
D0000154,O0000154,2025-09-15,2025-09-24,38.23,Delivered
D0000155,O0000155,2025-07-18,2025-07-14,46.5,Delivered
D0000156,O0000156,2025-03-21,2025-03-15,59.49,Delivered
D0000157,O0000157,2025-12-27,2025-12-25,96.14,Delivered
D0000158,O0000158,2025-10-03,2025-09-27,57.49,Delivered
D0000159,O0000159,2025-06-28,2025-07-02,49.49,In Transit
D0000160,O0000160,2025-01-24,2025-01-26,29.73,In Transit
D0000161,O0000161,2025-12-05,2025-12-13,75.64,In Transit
D0000162,O0000162,2025-10-09,2025-10-09,31.2,Delivered
D0000163,O0000163,2025-06-25,2025-07-02,45.44,Delivered
D0000164,O0000164,2025-03-07,2025-03-02,80.93,Delivered
D0000165,O0000165,2025-02-17,2025-02-23,107.12,Delivered
D0000166,O0000166,2025-04-20,2025-04-27,45.57,In Transit
D0000167,O0000167,2025-04-02,2025-03-27,31.21,Delivered
D0000168,O0000168,2025-03-28,2025-04-01,95.66,In Transit
D0000169,O0000169,2025-06-02,2025-06-13,38.49,Delivered
D0000170,O0000170,2025-01-27,2025-02-01,46.28,Delivered
D0000171,O0000171,2025-05-06,2025-05-07,38.48,Delivered
