order_id,order_date,customer_id,product_id,warehouse_id,supplier_id,carrier_id,quantity,unit_price,order_value,status
O0000001,2025-02-16,C03877,P0219,W02,S013,T03,26,12.79,332.54,Delivered
O0000002,2025-05-08,C04230,P0396,W10,S047,T07,32,7.45,238.4,Delivered
O0000003,2025-10-26,C04253,P0408,W10,S057,T01,16,12.14,194.24,Delivered
O0000004,2025-06-07,C02851,P0030,W09,S026,T06,20,10.69,213.8,Delivered
O0000005,2025-09-09,C04235,P0644,W10,S007,T07,48,100.17,4808.16,In Transit
O0000006,2025-10-01,C01896,P0175,W03,S016,T01,48,11.61,557.28,Delivered
O0000007,2025-01-12,C04947,P0804,W12,S024,T01,19,12.61,239.59,In Transit
O0000008,2025-12-06,C03298,P0404,W11,S002,T04,19,59.64,1133.16,Delivered
O0000009,2025-05-03,C01817,P0356,W05,S063,T13,33,74.38,2454.54,Delivered
O0000010,2025-10-17,C00297,P0299,W01,S003,T04,20,23.7,474.0,In Transit
O0000011,2025-06-20,C01743,P0097,W11,S009,T06,29,52.33,1517.57,Delivered
O0000012,2025-07-30,C02411,P0207,W08,S056,T02,33,27.22,898.26,Delivered
O0000013,2025-05-12,C00559,P0892,W12,S024,T08,49,19.46,953.54,Delivered
O0000014,2025-11-08,C02836,P0534,W09,S057,T05,4,70.26,281.04,Delivered
O0000015,2025-02-12,C04288,P0614,W11,S025,T06,16,32.99,527.84,In Transit
O0000016,2025-11-24,C01578,P0487,W09,S062,T03,18,18.31,329.58,Delivered
O0000017,2025-03-17,C04653,P0668,W12,S011,T07,7,70.22,491.54,In Transit
O0000018,2025-11-19,C02046,P0249,W04,S056,T14,33,19.67,649.11,Delivered
O0000019,2025-01-09,C01412,P0493,W01,S078,T06,29,17.12,496.48,In Transit
O0000020,2025-01-06,C04185,P0500,W01,S074,T08,22,35.28,776.16,Delivered
O0000021,2025-02-03,C03076,P0441,W07,S046,T09,24,28.7,688.8,Delivered
O0000022,2025-07-19,C03119,P0737,W04,S060,T02,45,20.44,919.8,In Transit
O0000023,2025-04-08,C01225,P0534,W02,S080,T02,33,70.26,2318.58,Delivered
O0000024,2025-08-07,C02999,P0030,W11,S050,T10,43,10.69,459.67,Delivered
O0000025,2025-10-27,C04310,P0166,W10,S071,T02,13,33.87,440.31,Delivered
O0000026,2025-01-10,C00975,P0331,W02,S067,T06,48,11.77,564.96,In Transit
O0000027,2025-07-12,C00035,P0633,W11,S021,T13,11,48.61,534.71,Delivered
O0000028,2025-09-27,C03830,P0705,W09,S009,T01,31,10.79,334.49,Delivered
O0000029,2025-06-04,C03476,P0585,W04,S043,T07,37,19.07,705.59,Delivered
O0000030,2025-12-04,C01017,P0172,W10,S003,T11,26,15.99,415.74,Delivered
O0000031,2025-08-30,C02715,P0756,W06,S044,T14,46,53.11,2443.06,Delivered
O0000032,2025-01-13,C00607,P0963,W06,S043,T15,30,17.22,516.6,Delivered
O0000033,2025-07-17,C01431,P0969,W03,S026,T14,12,7.57,90.84,In Transit
O0000034,2025-05-21,C00906,P0106,W04,S040,T09,41,20.42,837.22,Delivered
O0000035,2025-02-18,C04616,P0146,W05,S068,T07,32,77.54,2481.28,Delivered
O0000036,2025-12-13,C01793,P0237,W02,S070,T08,11,41.66,458.26,Delivered
O0000037,2025-03-23,C02398,P0764,W04,S006,T11,27,14.86,401.22,Delivered
O0000038,2025-01-31,C01201,P0484,W02,S057,T10,32,34.06,1089.92,Delivered
O0000039,2025-03-23,C02623,P0451,W01,S013,T06,5,36.66,183.3,Delivered
O0000040,2025-10-28,C02784,P0313,W05,S031,T07,19,9.52,180.88,Delivered
O0000041,2025-08-07,C00417,P0572,W05,S033,T07,48,17.65,847.2,Delivered
O0000042,2025-10-27,C03925,P0107,W03,S020,T07,38,21.9,832.2,Delivered
O0000043,2025-06-18,C02060,P0144,W05,S044,T11,9,60.01,540.09,Delivered
O0000044,2025-02-12,C02339,P0951,W08,S004,T02,49,25.5,1249.5,Delivered
O0000045,2025-05-22,C00796,P0751,W08,S001,T07,39,19.17,747.63,Delivered
O0000046,2025-03-14,C00329,P0974,W08,S026,T02,6,26.99,161.94,In Transit
O0000047,2025-07-23,C02772,P0661,W04,S063,T15,3,14.13,42.39,Delivered
O0000048,2025-04-09,C00137,P0744,W06,S012,T07,48,87.91,4219.68,Delivered
O0000049,2025-12-21,C02892,P0721,W10,S071,T10,18,23.64,425.52,In Transit
O0000050,2025-05-18,C03824,P0474,W07,S021,T08,20,32.62,652.4,Delivered
O0000051,2025-04-25,C01221,P0883,W12,S027,T12,28,18.9,529.2,Delivered
O0000052,2025-12-26,C01430,P0382,W04,S059,T07,13,11.6,150.8,Delivered
O0000053,2025-07-09,C04718,P0101,W01,S046,T10,47,36.69,1724.43,Delivered
O0000054,2025-03-04,C02288,P0798,W10,S030,T12,42,23.53,988.26,In Transit
O0000055,2025-06-25,C01515,P0522,W02,S023,T09,50,28.98,1449.0,Cancelled
O0000056,2025-04-03,C04432,P0855,W03,S028,T08,12,18.96,227.52,Cancelled
O0000057,2025-09-19,C03272,P0440,W11,S026,T15,27,18.39,496.53,In Transit
O0000058,2025-07-29,C02988,P0329,W09,S057,T08,44,38.53,1695.32,Cancelled
O0000059,2025-09-24,C04896,P0792,W10,S076,T12,20,35.81,716.2,Cancelled
O0000060,2025-12-10,C03024,P0064,W02,S074,T05,3,23.53,70.59,Delivered
O0000061,2025-09-24,C04019,P0115,W07,S014,T01,27,24.19,653.13,Delivered
O0000062,2025-05-05,C03512,P0732,W04,S035,T07,16,101.5,1624.0,Delivered
O0000063,2025-03-15,C03732,P0838,W02,S065,T05,37,6.79,251.23,Cancelled
O0000064,2025-07-13,C03420,P0951,W02,S040,T08,35,25.5,892.5,Cancelled
O0000065,2025-06-13,C00297,P0933,W07,S068,T13,25,16.62,415.5,Delivered
O0000066,2025-04-25,C00919,P0983,W06,S074,T15,16,9.45,151.2,Delivered
