product_id,product_name,category,unit_price
P0001,Product 0001,Automotive,10.15
P0002,Product 0002,Machinery,32.28
P0003,Product 0003,Machinery,26.58
P0004,Product 0004,Packaging,31.94
P0005,Product 0005,Machinery,34.13
P0006,Product 0006,Automotive,12.76
P0007,Product 0007,Electronics,12.39
P0008,Product 0008,Machinery,40.47
P0009,Product 0009,Spare Parts,15.79
P0010,Product 0010,Machinery,3.58
P0011,Product 0011,Packaging,38.63
P0012,Product 0012,Packaging,11.88
P0013,Product 0013,Electronics,34.02
P0014,Product 0014,Spare Parts,65.04
P0015,Product 0015,Packaging,24.82
P0016,Product 0016,Spare Parts,49.26
P0017,Product 0017,Packaging,27.32
P0018,Product 0018,Packaging,74.53
P0019,Product 0019,Automotive,11.66
P0020,Product 0020,Machinery,24.39
P0021,Product 0021,Automotive,39.3
P0022,Product 0022,Packaging,21.47
P0023,Product 0023,Packaging,54.96
P0024,Product 0024,Machinery,18.13
P0025,Product 0025,Electronics,104.43
P0026,Product 0026,Automotive,108.37
P0027,Product 0027,Packaging,29.89
P0028,Product 0028,Packaging,36.12
P0029,Product 0029,Machinery,56.5
P0030,Product 0030,Packaging,10.69
P0031,Product 0031,Packaging,9.79
P0032,Product 0032,Machinery,59.12
P0033,Product 0033,Automotive,29.72
P0034,Product 0034,Spare Parts,20.94
P0035,Product 0035,Machinery,24.72
P0036,Product 0036,Packaging,4.62
P0037,Product 0037,Spare Parts,21.47
P0038,Product 0038,Electronics,14.48
P0039,Product 0039,Packaging,46.65
P0040,Product 0040,Automotive,49.23
P0041,Product 0041,Spare Parts,36.73
P0042,Product 0042,Automotive,32.36
P0043,Product 0043,Machinery,8.6
P0044,Product 0044,Electronics,37.09
P0045,Product 0045,Automotive,38.11
P0046,Product 0046,Machinery,58.65
P0047,Product 0047,Spare Parts,108.07
P0048,Product 0048,Automotive,7.5
P0049,Product 0049,Electronics,18.69
P0050,Product 0050,Automotive,14.59
P0051,Product 0051,Automotive,27.68
P0052,Product 0052,Electronics,24.76
P0053,Product 0053,Machinery,20.82
P0054,Product 0054,Packaging,50.37
P0055,Product 0055,Packaging,11.35
P0056,Product 0056,Packaging,11.84
P0057,Product 0057,Packaging,11.98
P0058,Product 0058,Electronics,19.06
P0059,Product 0059,Spare Parts,10.38
P0060,Product 0060,Automotive,23.71
P0061,Product 0061,Packaging,21.85
P0062,Product 0062,Automotive,14.15
P0063,Product 0063,Packaging,45.22
P0064,Product 0064,Automotive,23.53
P0065,Product 0065,Electronics,51.62
P0066,Product 0066,Electronics,21.4
P0067,Product 0067,Packaging,24.12
P0068,Product 0068,Automotive,16.54
P0069,Product 0069,Electronics,24.41
P0070,Product 0070,Electronics,40.39
P0071,Product 0071,Packaging,18.39
P0072,Product 0072,Spare Parts,35.26
P0073,Product 0073,Packaging,13.89
P0074,Product 0074,Machinery,41.73
P0075,Product 0075,Electronics,16.35
P0076,Product 0076,Spare Parts,44.53
P0077,Product 0077,Automotive,25.6
P0078,Product 0078,Automotive,71.14
P0079,Product 0079,Electronics,10.94
P0080,Product 0080,Electronics,8.73
P0081,Product 0081,Machinery,15.94
P0082,Product 0082,Spare Parts,9.31
P0083,Product 0083,Packaging,9.32
P0084,Product 0084,Electronics,37.91
P0085,Product 0085,Electronics,24.46
P0086,Product 0086,Packaging,17.54
P0087,Product 0087,Electronics,18.71
P0088,Product 0088,Spare Parts,16.15
P0089,Product 0089,Machinery,77.89
P0090,Product 0090,Machinery,14.66
P0091,Product 0091,Spare Parts,9.72
P0092,Product 0092,Electronics,42.83
P0093,Product 0093,Machinery,21.09
P0094,Product 0094,Machinery,102.22
P0095,Product 0095,Electronics,16.97
P0096,Product 0096,Automotive,44.35
P0097,Product 0097,Electronics,52.33
P0098,Product 0098,Automotive,17.03
P0099,Product 0099,Packaging,14.58
P0100,Product 0100,Automotive,41.22
P0101,Product 0101,Electronics,36.69
P0102,Product 0102,Spare Parts,9.14
P0103,Product 0103,Machinery,11.14
P0104,Product 0104,Packaging,4.16
P0105,Product 0105,Packaging,37.22
P0106,Product 0106,Electronics,20.42
P0107,Product 0107,Packaging,21.9
P0108,Product 0108,Electronics,7.51
P0109,Product 0109,Packaging,11.37
P0110,Product 0110,Packaging,17.56
P0111,Product 0111,Spare Parts,15.32
P0112,Product 0112,Spare Parts,26.64
P0113,Product 0113,Automotive,36.91
P0114,Product 0114,Electronics,120.15
P0115,Product 0115,Machinery,24.19
P0116,Product 0116,Electronics,53.56
P0117,Product 0117,Packaging,13.72
P0118,Product 0118,Spare Parts,7.6
P0119,Product 0119,Electronics,19.17
P0120,Product 0120,Spare Parts,8.02
P0121,Product 0121,Spare Parts,24.79
P0122,Product 0122,Spare Parts,14.21
P0123,Product 0123,Automotive,6.25
P0124,Product 0124,Electronics,82.7
P0125,Product 0125,Automotive,16.84
P0126,Product 0126,Automotive,7.8
P0127,Product 0127,Automotive,46.0
P0128,Product 0128,Machinery,14.73
P0129,Product 0129,Automotive,52.62
P0130,Product 0130,Electronics,14.68
P0131,Product 0131,Spare Parts,16.8
P0132,Product 0132,Spare Parts,31.23
P0133,Product 0133,Spare Parts,37.16
P0134,Product 0134,Automotive,42.01
P0135,Product 0135,Packaging,23.04
P0136,Product 0136,Packaging,35.52
