supplier_id,supplier_name,country
S001,Supplier 001,Poland
S002,Supplier 002,Brazil
S003,Supplier 003,Italy
S004,Supplier 004,Brazil
S005,Supplier 005,France
S006,Supplier 006,France
S007,Supplier 007,Spain
S008,Supplier 008,Poland
S009,Supplier 009,Spain
S010,Supplier 010,France
S011,Supplier 011,Brazil
S012,Supplier 012,Poland
S013,Supplier 013,France
S014,Supplier 014,Spain
S015,Supplier 015,Brazil
S016,Supplier 016,France
S017,Supplier 017,Spain
S018,Supplier 018,Poland
S019,Supplier 019,France
S020,Supplier 020,Spain
S021,Supplier 021,Poland
S022,Supplier 022,France
S023,Supplier 023,France
S024,Supplier 024,Brazil
S025,Supplier 025,Poland
S026,Supplier 026,Brazil
S027,Supplier 027,Germany
S028,Supplier 028,Brazil
S029,Supplier 029,Italy
S030,Supplier 030,France
S031,Supplier 031,Italy
S032,Supplier 032,Italy
S033,Supplier 033,Brazil
S034,Supplier 034,France
S035,Supplier 035,Brazil
S036,Supplier 036,Brazil
S037,Supplier 037,Spain
S038,Supplier 038,Germany
S039,Supplier 039,Brazil
S040,Supplier 040,France
S041,Supplier 041,Spain
S042,Supplier 042,Poland
S043,Supplier 043,Italy
S044,Supplier 044,France
S045,Supplier 045,Spain
S046,Supplier 046,Brazil
S047,Supplier 047,France
S048,Supplier 048,Italy
S049,Supplier 049,Brazil
S050,Supplier 050,Poland
S051,Supplier 051,Spain
S052,Supplier 052,Netherlands
S053,Supplier 053,Germany
S054,Supplier 054,Netherlands
S055,Supplier 055,France
S056,Supplier 056,Poland
S057,Supplier 057,Spain
S058,Supplier 058,Italy
S059,Supplier 059,Germany
S060,Supplier 060,Poland
S061,Supplier 061,Germany
S062,Supplier 062,Brazil
S063,Supplier 063,Spain
S064,Supplier 064,Netherlands
S065,Supplier 065,Poland
S066,Supplier 066,Netherlands
S067,Supplier 067,Spain
S068,Supplier 068,Poland
S069,Supplier 069,Spain
S070,Supplier 070,Spain
S071,Supplier 071,Germany
S072,Supplier 072,Netherlands
S073,Supplier 073,France
S074,Supplier 074,Germany
S075,Supplier 075,France
S076,Supplier 076,Italy
S077,Supplier 077,Germany
S078,Supplier 078,France
S079,Supplier 079,France
S080,Supplier 080,Italy
